Details,Period.1,Period.2,Period.3,Total
Timespan,2000 - 2007,2008 - 2014,2015 - 2021,2000 - 2021
Journals,148,346,553,929
Annual growth rate %,88.32,3.72,17.76,29.82
Average citations per doc,33.68,20.31,11.9,17.8
Total published documents,285,581,1014,1880
Articles,193,330,775,1298
Book chapters,7,63,37,107
Porceeding papers,35,76,114,225
Conference papers,50,112,88,250
